Precinct,Registered_Voters,Absentee_TaylorRehmet,Early_TaylorRehmet,Election_TaylorRehmet,TotalVotes_TaylorRehmet,Absentee_LeighWambsganss,Early_LeighWambsganss,Election_LeighWambsganss,TotalVotes_LeighWambsganss,TotalVotesAll,VTD,CountyFIPS,County,CNTY,CNTYVTD,VTDKEY,total,anglo,nanglo,asian,black,hisp,bh,vap,anglovap,nanglovap,asianvap,blackvap,hispvap,bhvap,Winner,pct_hisp,Rehmet_Pct,Wambsganss_Pct,Vote_Margin_Pct,pct_nonwhite
4410,3709,8,114,149,271,0,91,93,184,455,4410,439,TARRANT,439,2204410,8591,5506,2180,3326,776,1080,1387,2424,4363,1879,2484,623,790,980,1752,Taylor Rehmet,0.25190701053396297,59.56043956043956,40.43956043956044,19.120879120879124,0.6040682891391209
4452,4253,0,174,211,385,2,76,109,187,572,4452,439,TARRANT,439,2204452,8594,6659,2298,4361,1832,925,1564,2422,4553,1689,2864,1252,518,1044,1535,Taylor Rehmet,0.23487010061570807,67.3076923076923,32.69230769230769,34.61538461538461,0.6549031386094009
4483,54,0,2,2,4,0,0,0,0,4,4483,439,TARRANT,439,2204483,8601,138,23,115,4,2,110,111,110,20,90,3,1,85,86,Taylor Rehmet,0.7971014492753623,100.0,0.0,100.0,0.8333333333333334
4485,502,0,4,19,23,0,3,9,12,35,4485,439,TARRANT,439,2204485,8602,1686,276,1410,57,23,1304,1324,1125,240,885,37,15,809,824,Taylor Rehmet,0.7734282325029656,65.71428571428571,34.285714285714285,31.428571428571423,0.8362989323843416
4494,204,0,6,6,12,0,0,3,3,15,4494,439,TARRANT,439,2204494,8606,238,115,123,3,69,49,115,219,115,104,3,65,33,98,Taylor Rehmet,0.20588235294117646,80.0,20.0,60.0,0.5168067226890757
4496,663,2,17,20,39,4,3,3,10,49,4496,439,TARRANT,439,2204496,8608,1448,459,989,85,434,442,864,1173,431,742,80,297,340,629,Taylor Rehmet,0.3052486187845304,79.59183673469387,20.408163265306122,59.18367346938775,0.6830110497237569
4499,1577,4,53,50,107,0,17,35,52,159,4499,439,TARRANT,439,2204499,8611,2998,969,2029,264,382,1351,1691,2164,758,1406,192,266,907,1158,Taylor Rehmet,0.4506337558372248,67.29559748427673,32.70440251572327,34.59119496855346,0.6767845230153435
4503,1108,0,35,72,107,0,10,12,22,129,4503,439,TARRANT,439,2204503,8612,2626,478,2148,54,70,1996,2060,1895,407,1488,43,58,1364,1419,Taylor Rehmet,0.7600913937547601,82.94573643410853,17.05426356589147,65.89147286821705,0.817974105102818
4508,4378,9,200,171,380,8,122,90,220,600,4508,439,TARRANT,439,2204508,8613,7370,3305,4065,900,1130,1876,2929,5523,2728,2795,636,739,1257,1963,Taylor Rehmet,0.2545454545454545,63.33333333333333,36.666666666666664,26.666666666666664,0.5515603799185889
4533,1638,2,70,54,126,0,34,60,94,220,4533,439,TARRANT,439,2204533,8618,3497,1189,2308,268,208,1781,1968,2486,986,1500,203,123,1130,1243,Taylor Rehmet,0.5092936802973977,57.27272727272727,42.72727272727273,14.545454545454547,0.6599942808121246
4540,3366,5,125,156,286,9,78,82,169,455,4540,439,TARRANT,439,2204540,8620,5972,2658,3314,748,896,1648,2479,4456,2140,2316,560,589,1105,1667,Taylor Rehmet,0.27595445411922304,62.857142857142854,37.142857142857146,25.714285714285708,0.5549229738780977
4565,39,0,0,0,0,0,1,1,2,2,4565,439,TARRANT,439,2204565,8623,96,32,64,0,0,60,60,75,26,49,0,0,45,45,Leigh Wambsganss,0.625,0.0,100.0,-100.0,0.6666666666666666
4572,46,0,2,7,9,0,1,1,2,11,4572,439,TARRANT,439,2204572,8625,63,2,61,1,26,34,59,41,2,39,0,15,24,39,Taylor Rehmet,0.5396825396825397,81.81818181818183,18.181818181818183,63.63636363636364,0.9682539682539683
4591,4039,3,127,190,320,2,85,91,178,498,4591,439,TARRANT,439,2204591,8629,5231,2508,2723,492,775,1404,2096,3600,1793,1807,335,516,896,1375,Taylor Rehmet,0.2683999235327853,64.2570281124498,35.7429718875502,28.514056224899605,0.5205505639457083
4593,930,0,5,37,42,1,2,2,5,47,4593,439,TARRANT,439,2204593,8631,1769,394,1375,29,205,1130,1327,1244,336,908,22,154,723,870,Taylor Rehmet,0.6387789711701526,89.36170212765957,10.638297872340425,78.72340425531914,0.7772752967778406
4595,102,0,0,0,0,0,1,2,3,3,4595,439,TARRANT,439,2204595,8632,220,72,148,1,3,142,145,154,54,100,0,3,95,98,Leigh Wambsganss,0.6454545454545455,0.0,100.0,-100.0,0.6727272727272727
4596,159,0,9,9,18,0,1,0,1,19,4596,439,TARRANT,439,2204596,8633,295,32,263,77,3,177,180,211,28,183,65,1,114,115,Taylor Rehmet,0.6,94.73684210526315,5.263157894736842,89.47368421052632,0.8915254237288136
4620,81,0,2,0,2,0,0,0,0,2,4620,439,TARRANT,439,2204620,8638,545,111,434,10,44,370,412,364,85,279,9,32,233,263,Taylor Rehmet,0.6788990825688074,100.0,0.0,100.0,0.7963302752293578
4638,1459,2,63,104,169,1,26,67,94,263,4638,439,TARRANT,439,2204638,8643,876,431,445,83,125,211,323,633,319,314,57,93,138,223,Taylor Rehmet,0.2408675799086758,64.25855513307985,35.741444866920155,28.517110266159698,0.5079908675799086
4640,927,0,28,36,64,0,2,7,9,73,4640,439,TARRANT,439,2204640,8644,1082,518,564,44,97,411,497,962,502,460,43,82,323,396,Taylor Rehmet,0.3798521256931608,87.67123287671232,12.32876712328767,75.34246575342465,0.5212569316081331
4650,4577,6,168,208,382,5,102,140,247,629,4650,439,TARRANT,439,2204650,8646,5584,2561,3023,428,1041,1478,2472,3782,1879,1903,267,638,891,1511,Taylor Rehmet,0.26468481375358166,60.73131955484896,39.268680445151034,21.462639109697925,0.5413681948424068
4682,439,1,11,16,28,2,5,1,8,36,4682,439,TARRANT,439,2204682,8648,1009,148,861,43,22,798,819,720,141,579,40,7,532,539,Taylor Rehmet,0.7908820614469773,77.77777777777779,22.22222222222222,55.555555555555564,0.8533201189296333
4685,6,0,0,2,2,0,0,0,0,2,4685,439,TARRANT,439,2204685,8650,18,1,17,1,5,13,17,8,1,7,0,2,5,7,Taylor Rehmet,0.7222222222222222,100.0,0.0,100.0,0.9444444444444444
4687,260,0,8,9,17,1,0,0,1,18,4687,439,TARRANT,439,2204687,8652,717,147,570,3,11,557,563,514,114,400,2,3,392,394,Taylor Rehmet,0.7768479776847977,94.44444444444444,5.555555555555555,88.88888888888889,0.7949790794979079
4689,173,0,7,5,12,1,3,4,8,20,4689,439,TARRANT,439,2204689,8653,328,103,225,5,5,216,220,247,96,151,5,5,142,146,Taylor Rehmet,0.6585365853658537,60.0,40.0,20.0,0.6859756097560976
4694,4656,3,98,178,279,3,66,72,141,420,4694,439,TARRANT,439,2204694,8654,3817,1829,1988,287,745,954,1660,2564,1306,1258,190,436,618,1033,Taylor Rehmet,0.24993450353680902,66.42857142857143,33.57142857142857,32.85714285714286,0.5208278752947341
4703,3229,2,85,138,225,0,34,38,72,297,4703,439,TARRANT,439,2204703,8656,5706,2215,3491,378,936,2125,2975,3852,1590,2262,273,561,1365,1891,Taylor Rehmet,0.37241500175254116,75.75757575757575,24.242424242424242,51.51515151515151,0.6118121275849983
4705,3166,5,82,120,207,0,36,55,91,298,4705,439,TARRANT,439,2204705,8657,5354,2134,3220,783,1063,1404,2375,3748,1576,2172,545,700,929,1578,Taylor Rehmet,0.26223384385506165,69.46308724832215,30.536912751677853,38.9261744966443,0.6014194994396713
4707,1923,1,47,86,134,1,14,20,35,169,4707,439,TARRANT,439,2204707,8658,3662,1369,2293,223,561,1482,1999,2402,991,1411,145,326,904,1209,Taylor Rehmet,0.4046968869470235,79.28994082840237,20.710059171597635,58.57988165680473,0.6261605679956308
4711,2521,2,94,95,191,3,85,58,146,337,4711,439,TARRANT,439,2204711,8659,4222,1497,2725,1011,556,1091,1619,3049,1183,1866,738,355,717,1060,Taylor Rehmet,0.2584083372809095,56.676557863501486,43.32344213649852,13.353115727002965,0.6454287067740407
4713,4516,7,118,175,300,5,67,108,180,480,4713,439,TARRANT,439,2204713,8660,5489,2590,2899,195,973,1659,2574,3892,1999,1893,144,615,1059,1645,Taylor Rehmet,0.30224084532701767,62.5,37.5,25.0,0.5281472034979049
4733,2552,3,72,104,179,3,42,59,104,283,4733,439,TARRANT,439,2204733,8663,4554,1795,2759,1100,866,754,1585,2942,1198,1744,735,531,449,963,Taylor Rehmet,0.16556873078612208,63.25088339222616,36.74911660777385,26.501766784452307,0.6058410188844972
4829,3002,2,64,113,179,0,30,51,81,260,4829,439,TARRANT,439,2204829,8668,4479,1421,3058,1029,711,1353,1996,3085,1042,2043,766,413,852,1234,Taylor Rehmet,0.30207635632953783,68.84615384615384,31.153846153846153,37.692307692307686,0.6827416834114758
4832,1774,0,61,76,137,0,27,26,53,190,4832,439,TARRANT,439,2204832,8670,1144,562,582,48,149,344,487,784,399,385,37,99,209,305,Taylor Rehmet,0.3006993006993007,72.10526315789474,27.89473684210526,44.21052631578948,0.5087412587412588
4836,3126,10,76,123,209,4,67,56,127,336,4836,439,TARRANT,439,2204836,8672,5598,2042,3556,787,1187,1550,2668,4070,1694,2376,566,723,1022,1719,Taylor Rehmet,0.2768846016434441,62.202380952380956,37.797619047619044,24.404761904761912,0.6352268667381208
4844,1820,2,40,73,115,0,29,44,73,188,4844,439,TARRANT,439,2204844,8673,2952,1241,1711,157,605,895,1464,1986,926,1060,102,356,554,896,Taylor Rehmet,0.3031842818428184,61.170212765957444,38.82978723404255,22.340425531914896,0.5796070460704607
4846,1720,3,49,39,91,2,16,33,51,142,4846,439,TARRANT,439,2204846A,8674,3462,1651,1811,233,721,802,1467,2885,1467,1418,202,552,597,1125,Taylor Rehmet,0.2316580011554015,64.08450704225352,35.91549295774648,28.16901408450704,0.523108030040439
